Variable,Time,Shock,Median,Lower,Upper
log(W_rel),13,OilPrice,-0.0013031584833087,-0.0129614778998768,0.0037648178310751
log(W_rel),14,ForeignDemand,-0.0008203379171575,-0.0287268329149441,0.0153017314917195
log(W_rel),14,IntRate,0.0007925403577455,-0.0395250221756071,0.0497031937552133
log(W_rel),14,OilPrice,-0.0009706889820039,-0.0123637765052559,0.0030572211158854
log(W_rel),15,ForeignDemand,-0.0006751642446247,-0.0264338934669497,0.0135014608501381
log(W_rel),15,IntRate,0.0014477587344453,-0.0344027111196661,0.0461824428426671
log(W_rel),15,OilPrice,-0.0008881698730407,-0.0121728593417804,0.0023584274768688
log(W_rel),16,ForeignDemand,-0.0005211193851293,-0.0235044745474447,0.0113461328332608
log(W_rel),16,IntRate,0.001232610129149,-0.0290732809354506,0.0440687136526439
log(W_rel),16,OilPrice,-0.0007969508360026,-0.011498978952968,0.0021760412134472
log(W_rel),17,ForeignDemand,-0.0003513743354567,-0.0213725081350224,0.0102389357275666
log(W_rel),17,IntRate,0.0013066892489061,-0.0262519484901163,0.0446356622997685
log(W_rel),17,OilPrice,-0.000608378118896,-0.0105834416729452,0.0018562748062296
log(W_rel),18,ForeignDemand,-0.0002506627972458,-0.0198769967412375,0.008813621274322
log(W_rel),18,IntRate,0.0016205795340975,-0.0203160438601408,0.0434434665538487
log(W_rel),18,OilPrice,-0.000521103518186,-0.0099584561388997,0.001522066717125
log(W_rel),19,ForeignDemand,-0.0002288823130348,-0.0187912939862736,0.0079734982110273
log(W_rel),19,IntRate,0.0012905168868436,-0.0170490250203773,0.0379387214098679
log(W_rel),19,OilPrice,-0.0004296377398222,-0.0095004794400333,0.0014771814035309
log(W_rel),20,ForeignDemand,-0.000187149756348,-0.0181934609805803,0.0073850940115128
log(W_rel),20,IntRate,0.0009325670871942,-0.0152493901914546,0.0329965888659732
log(W_rel),20,OilPrice,-0.0003295365303744,-0.0086565807509995,0.0014203983778524
log(W_rel),21,ForeignDemand,-0.0001285340265056,-0.0173859590346521,0.006459634295452
log(W_rel),21,IntRate,0.0008761779923021,-0.0126049516048291,0.0338706925349827
log(W_rel),21,OilPrice,-0.0002380490599397,-0.0078956807031866,0.001133523816839
log(W_rel),22,ForeignDemand,-9.546414854374822e-05,-0.0162558371741285,0.0056194391147809
log(W_rel),22,IntRate,0.0007147213878042,-0.0108882039537871,0.0321348665623598
log(W_rel),22,OilPrice,-0.0002048444979288,-0.0072466896357028,0.0009332072316706
log(W_rel),23,ForeignDemand,-8.190515305850696e-05,-0.0147631721466159,0.0047594941260796
log(W_rel),23,IntRate,0.0004568528872668,-0.0098263343731005,0.028020925261202
log(W_rel),23,OilPrice,-0.0001728805741215,-0.0068149988302626,0.0007773150130638
log(W_rel),24,ForeignDemand,-7.805033215014533e-05,-0.0133591849302809,0.0036754482953371
log(W_rel),24,IntRate,0.0003805142997192,-0.0090219539095747,0.0240855665147491
log(W_rel),24,OilPrice,-0.0001230734794214,-0.0066196138067701,0.0006970607976595
log(W),0,GovSpending,0.1349282090590057,0.0560092581244303,0.2116920138650627
log(W),1,GovSpending,0.2622653838049295,0.1934056983765442,0.3308385988844172
log(W),2,GovSpending,0.2757309016114862,0.2037775870387464,0.3518255715443637
log(W),3,GovSpending,0.2464806341405367,0.1715850116985642,0.3283059397177171
log(W),4,GovSpending,0.2028554350763213,0.1246904548402565,0.2957566131842659
log(W),5,GovSpending,0.1591992466385248,0.0779301268516392,0.2640683022785857
log(W),6,GovSpending,0.1212291078091297,0.0366567425795902,0.2351961581179957
log(W),7,GovSpending,0.0887819395544492,0.005953462405676,0.207290086692503
log(W),8,GovSpending,0.062932661790061,-0.0172462880004959,0.1828340184179904
log(W),9,GovSpending,0.042095450713745,-0.0304212141390786,0.1624564079328809
log(W),10,GovSpending,0.0273087559183741,-0.0364278095508306,0.1434708783802336
log(W),11,GovSpending,0.0163849097718467,-0.0372151895752029,0.1268203410919085
log(W),12,GovSpending,0.0091875364975466,-0.0346297216158925,0.1134141791048035
log(W),13,GovSpending,0.0044790553911448,-0.0311963274837059,0.1014911999671825
log(W),14,GovSpending,0.0023764148048036,-0.0272548180902198,0.0924313903477428
log(W),15,GovSpending,0.0016343589100704,-0.0230826739637952,0.0838087134234574
log(W),16,GovSpending,0.00162786541781,-0.0189745017207363,0.0750943711287693
log(W),17,GovSpending,0.0015819949135367,-0.0155309368349151,0.0686622761537247
log(W),18,GovSpending,0.0016213890840959,-0.0126664890673028,0.0634175389499936
log(W),19,GovSpending,0.0015730957195387,-0.0098335524086285,0.0587091449800499
log(W),20,GovSpending,0.0014849748675806,-0.0077293562444353,0.053405491893225
log(W),21,GovSpending,0.0014004192948443,-0.0058556464770598,0.0484707211232845
log(W),22,GovSpending,0.0013091067184174,-0.0045428146130965,0.0444033197384611
log(W),23,GovSpending,0.0011439657873907,-0.003597055062223,0.0411821894057208
log(W),24,GovSpending,0.0009710267652295,-0.0028550824839792,0.0379595002784824
log(Wp),0,GovSpending,0.1710768523464271,0.1198794376847996,0.2226416208971798
log(Wp),0,OilPrice,0.004903886443722,-0.0050191253054472,0.0136506492108327
log(Wp),1,GovSpending,0.2092384507906868,0.1581207601567406,0.2616837523774855
log(Wp),1,OilPrice,0.0118260548715568,-0.0063868543639617,0.0266147997628701
log(Wp),2,GovSpending,0.1824345244180693,0.1356004447415411,0.2391257555377491
log(Wp),2,OilPrice,0.0018305578802336,-0.0166444484308421,0.0214393824583194
log(Wp),3,GovSpending,0.1453115902364202,0.1019616489974442,0.1972804548936905
log(Wp),3,OilPrice,-0.0073667736845213,-0.0272899383438732,0.0120825092410531
log(Wp),4,GovSpending,0.1108857582425043,0.0690928026913709,0.1608121589271096
log(Wp),4,OilPrice,-0.0128700503198421,-0.0322169305417632,0.0046196151763467
log(Wp),5,GovSpending,0.0810473708367096,0.0387882403003696,0.1332946429586528
log(Wp),5,OilPrice,-0.0141440138230255,-0.0329019085915342,0.0020230778326473
log(Wp),6,GovSpending,0.0596900432198031,0.0177660741497508,0.1119095509989851
log(Wp),6,OilPrice,-0.0131166770113862,-0.0315009989873286,-5.626557161105554e-05
log(Wp),7,GovSpending,0.0430111001659393,0.0006370791451475,0.0958431816365218
log(Wp),7,OilPrice,-0.0106885203540186,-0.0293310833351575,0.0007911057684799
log(Wp),8,GovSpending,0.0301165340239285,-0.0113561409966635,0.0839956271814496
log(Wp),8,OilPrice,-0.0090098370897954,-0.0264860592415573,0.0019529651736856
log(Wp),9,GovSpending,0.0214428991660264,-0.0184896963830404,0.0744187377647057
log(Wp),9,OilPrice,-0.0076168487664119,-0.0232452389639044,0.0030656029074149
log(Wp),10,GovSpending,0.0146432721106982,-0.0213535889470941,0.0661245912419422
log(Wp),10,OilPrice,-0.0064495704742804,-0.0201667069474775,0.0032443058086273
log(Wp),11,GovSpending,0.0091373030091455,-0.0210508675414079,0.0581904663491224
log(Wp),11,OilPrice,-0.0051017833367556,-0.0185685680917242,0.0025281249313216
log(Wp),12,GovSpending,0.0053653895765795,-0.0211376068468496,0.0526584554308093
log(Wp),12,OilPrice,-0.0042398673013108,-0.0179814499737933,0.0024171426086936
log(Wp),13,GovSpending,0.0033066933437007,-0.0203670896040421,0.0461927699382421
log(Wp),13,OilPrice,-0.0033097828781734,-0.0170596747896349,0.0023629604202819
log(Wp),14,GovSpending,0.0024851993134263,-0.0167409666232054,0.0413087168967067
log(Wp),14,OilPrice,-0.0025255519262333,-0.0153601132749994,0.0021105689176674
log(Wp),15,GovSpending,0.0020200335618507,-0.0130549693726318,0.0361025537624008
log(Wp),15,OilPrice,-0.0018705409250744,-0.013771613540531,0.0020085273046053
log(Wp),16,GovSpending,0.0016997107058922,-0.0113918205864834,0.031702973565386
log(Wp),16,OilPrice,-0.0015064461358807,-0.0131020709379547,0.0015889788148901
log(Wp),17,GovSpending,0.0016234649151889,-0.0089509470812046,0.0287705244598508
log(Wp),17,OilPrice,-0.0012481964913741,-0.0121044478657761,0.0012109762642164
log(Wp),18,GovSpending,0.0017807251237522,-0.0072597226492613,0.0277913026903631
log(Wp),18,OilPrice,-0.0010566682903868,-0.011553996306353,0.0009753543998421
log(Wp),19,GovSpending,0.0017013688812016,-0.0055646649910594,0.0251600659437259
log(Wp),19,OilPrice,-0.0008546242774675,-0.0116954692029638,0.0009106277556074
log(Wp),20,GovSpending,0.0015895185001576,-0.0041981463045356,0.0244616507332062
log(Wp),20,OilPrice,-0.0006509264222496,-0.0120010329403357,0.0007761141792715
log(Wp),21,GovSpending,0.0014615729472448,-0.0033737397220347,0.0221597975925573
log(Wp),21,OilPrice,-0.0005188662003997,-0.0121366696764522,0.0008411138491983
log(Wp),22,GovSpending,0.0011600666787988,-0.0027383867700971,0.0194061437338355
log(Wp),22,OilPrice,-0.0004571807327323,-0.011817192712044,0.0007006239697355
log(Wp),23,GovSpending,0.0009495002852879,-0.0022143526077952,0.017702916927223
log(Wp),23,OilPrice,-0.0003689610312113,-0.0105304991404335,0.0006397073026663
log(Wp),24,GovSpending,0.0008011452165121,-0.0017782783551229,0.0160554851879222
log(Wp),24,OilPrice,-0.0003312179743609,-0.0109140656965802,0.0005334652789925
log(PBol),0,ForeignDemand,0.5590968910547172,0.4428903157368204,0.6592371379341835
log(PBol),0,GovSpending,0.429931351449919,0.2681098908086604,0.5979229437119506
log(PBol),0,IntRate,-0.4327730492433114,-1.196393188356498,-0.1424939095749559
log(PBol),0,OilPrice,0.0074865247002719,-0.0044773040180321,0.0185005638404051
log(PBol),1,ForeignDemand,0.5210572333294059,0.3321848039321911,0.7158453406992569
log(PBol),1,GovSpending,0.3071310753829473,0.0969588974179906,0.5274737603794563
log(PBol),1,IntRate,-0.467323145468747,-0.9305235296893372,-0.129502198981161
log(PBol),1,OilPrice,0.0124055829469498,-0.0118950617264959,0.0337838717303487
log(PBol),2,ForeignDemand,0.3409023910996415,0.1223245229588971,0.581006429823562
log(PBol),2,GovSpending,0.1123173991541206,-0.1139540753417098,0.3634390327910644
log(PBol),2,IntRate,-0.3095353750738141,-0.7357015266291504,0.0956172252532278
log(PBol),2,OilPrice,-0.005522437668302,-0.0345277205054427,0.0260171578455125
log(PBol),3,ForeignDemand,0.2060364961047146,-0.0312124820933932,0.4350830582001062
log(PBol),3,GovSpending,0.0378179943517659,-0.1847819469079145,0.2907643356720329
log(PBol),3,IntRate,-0.1664104616460422,-0.6034062617343754,0.262093897511036
log(PBol),3,OilPrice,-0.0151870758177918,-0.046647535729812,0.0218976930564917
log(PBol),4,ForeignDemand,0.1281377537699463,-0.1101561328996206,0.3560544958195715
log(PBol),4,GovSpending,0.0246554294872442,-0.1802730561201812,0.2710398254717899
log(PBol),4,IntRate,-0.0729135490955157,-0.4938212101164222,0.3143711991766612
log(PBol),4,OilPrice,-0.0130861653946399,-0.0455748341359267,0.0228091796811028
log(PBol),5,ForeignDemand,0.0752691825626499,-0.1520100497138339,0.2785131525132059
log(PBol),5,GovSpending,0.031347682879318,-0.1517433407269833,0.2714565977568122
log(PBol),5,IntRate,-0.0353254964496482,-0.4329237162405414,0.2898012180554828
log(PBol),5,OilPrice,-0.0071618831957909,-0.0368610561068724,0.0310226104089246
log(PBol),6,ForeignDemand,0.0414306348130888,-0.1695902212522807,0.2428356573573382
log(PBol),6,GovSpending,0.0374555008662298,-0.1201253414384681,0.269102085411377
log(PBol),6,IntRate,-0.0414183397035791,-0.4673957837817413,0.233494405030795
log(PBol),6,OilPrice,0.0004101050620196,-0.0251966136732195,0.0358987904553754
log(PBol),7,ForeignDemand,0.0160966391227872,-0.188047800442999,0.2092649132059943
log(PBol),7,GovSpending,0.03641612837312,-0.0971957443657881,0.265751155099568
log(PBol),7,IntRate,-0.041084978268193,-0.4870369980413192,0.1976083819194203
log(PBol),7,OilPrice,0.003870970979254,-0.0172105859380502,0.0344115354396155
log(PBol),8,ForeignDemand,-0.0051417179805747,-0.195552327856126,0.1781585624456086
log(PBol),8,GovSpending,0.0323773200460264,-0.0820663355982283,0.2606305910612769
log(PBol),8,IntRate,-0.0468622921763316,-0.5077039459701582,0.1670784609566272
log(PBol),8,OilPrice,0.0036355648740761,-0.0143266300099985,0.0306413729562592
log(PBol),9,ForeignDemand,-0.0164008558867605,-0.1980385393863097,0.141661974015021
log(PBol),9,GovSpending,0.027676298101068,-0.0704303963632024,0.2549274906653618
log(PBol),9,IntRate,-0.0504687877594968,-0.4789686868263937,0.1458917369916414
log(PBol),9,OilPrice,0.0024642523451141,-0.015034741330732,0.0265159763532015
log(PBol),10,ForeignDemand,-0.0217162372235974,-0.2113153887605185,0.1050127265246026
log(PBol),10,GovSpending,0.0217315826526149,-0.0624984275474078,0.2440121277405954
log(PBol),10,IntRate,-0.0390186234738758,-0.4575173073916485,0.1280076247962281
log(PBol),10,OilPrice,0.0003804109102227,-0.0168139380692796,0.0229293260953968
log(PBol),11,ForeignDemand,-0.0228007572377704,-0.218306230578516,0.0888976861939421
log(PBol),11,GovSpending,0.0165839074211028,-0.0544496187917957,0.231159322603127
log(PBol),11,IntRate,-0.0225770122702151,-0.4052867237552701,0.1350459129647194
log(PBol),11,OilPrice,-0.0004220035238072,-0.0186748082233362,0.0171493910796621
log(PBol),12,ForeignDemand,-0.0235212702089163,-0.231872454467749,0.0793729356146121
log(PBol),12,GovSpending,0.0130672671693237,-0.0489219331268434,0.2249276624791828
log(PBol),12,IntRate,-0.0171314326513266,-0.3756044678345778,0.1200273170852533
log(PBol),12,OilPrice,-0.0009411232316044,-0.0176837437025723,0.0123603144122202
log(PBol),13,ForeignDemand,-0.0217733673742285,-0.2368103427241462,0.0697567690048705
log(PBol),13,GovSpending,0.0101701019706666,-0.0435621365868621,0.2193422186693334
log(PBol),13,IntRate,-0.0108969128919769,-0.3337281435673619,0.1110570952872149
log(PBol),13,OilPrice,-0.0003291665601961,-0.0149924329912948,0.0118903040482619
log(PBol),14,ForeignDemand,-0.0188215839482667,-0.2524605216937153,0.0652321244003842
log(PBol),14,GovSpending,0.0083123950408258,-0.0390892387796621,0.2122078118801946
log(PBol),14,IntRate,-0.0036685926568102,-0.2943094114310064,0.1228604857356773
log(PBol),14,OilPrice,-0.0002536240096838,-0.0111238153047307,0.0105239519512327
log(PBol),15,ForeignDemand,-0.0164997065235138,-0.2586366189280199,0.0572505224444833
log(PBol),15,GovSpending,0.0063962165963894,-0.0355556831626192,0.2037005872683331
log(PBol),15,IntRate,-0.0034140791905783,-0.3151317307482167,0.1289467700843573
log(PBol),15,OilPrice,-3.883677261192784e-05,-0.0095748288656567,0.0104588292319437
log(PBol),16,ForeignDemand,-0.0145120776648865,-0.2478646212035555,0.0525358660831512
log(PBol),16,GovSpending,0.0050962926924999,-0.0321645553142684,0.1973880458983228
log(PBol),16,IntRate,-0.0017975283932609,-0.350796068607662,0.1312321858846317
log(PBol),16,OilPrice,-0.0001141458437301,-0.0118497055731565,0.0096686781262754
log(PBol),17,ForeignDemand,-0.0128131624652962,-0.237977878834047,0.0477655695096448
log(PBol),17,GovSpending,0.0039241922261981,-0.0294671253385186,0.1932842572615009
log(PBol),17,IntRate,-0.0011978732797533,-0.3342823719428109,0.1284418500749074
log(PBol),17,OilPrice,-0.0001967430083549,-0.0096586558836102,0.0081651223107558
log(PBol),18,ForeignDemand,-0.0122557960691333,-0.2402909286537512,0.0397527754153309
log(PBol),18,GovSpending,0.0031279576101989,-0.0266496705932299,0.1885583810102055
log(PBol),18,IntRate,-0.0004740688567673,-0.2897999496195555,0.1158441029030517
log(PBol),18,OilPrice,-0.0001674798605786,-0.0099253296605757,0.0064453522195177
log(PBol),19,ForeignDemand,-0.0105051470065401,-0.2432595313835293,0.0364384716849956
log(PBol),19,GovSpending,0.0024947036491033,-0.0240119936631275,0.1847566577747659
log(PBol),19,IntRate,-0.0007807239242977,-0.2624777519983148,0.1078248098355277
log(PBol),19,OilPrice,-6.985539614440867e-05,-0.0106455559837464,0.0050922278935441
log(PBol),20,ForeignDemand,-0.0072936179935269,-0.2544475592720653,0.0347943315269991
log(PBol),20,GovSpending,0.0019526950164481,-0.0220041527495264,0.1818106156261705
log(PBol),20,IntRate,-0.0006515337146721,-0.2427111324227355,0.0944424761163716
log(PBol),20,OilPrice,-0.0001275689572886,-0.0128430944705031,0.0046205465334792
log(PBol),21,ForeignDemand,-0.0060966910101502,-0.2617830101161743,0.0347321769474977
log(PBol),21,GovSpending,0.0014280135551217,-0.0200019212748695,0.1767121630448405
